country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Daman and Diu,10,8354,816,143,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,15,8354,259,39,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,20,8354,226,17,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,25,8354,25,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,30,8354,18,3,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,50,8354,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Daman and Diu,75,8354,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Goa,0,369568,369568,369568,4030,9,8,14,17,55,51,67,94,78,10,148,53,42,54,16,152,124,117,77,97,51,69,251
India,Goa,10,369568,198726,165110,4030,7,6,12,15,45,38,58,80,67,8,130,41,28,34,14,104,84,77,55,74,37,38,131
India,Goa,15,369568,178016,142351,4030,7,6,12,14,43,36,57,75,64,8,120,39,24,30,13,97,80,68,52,70,35,33,109
India,Goa,20,369568,172993,138907,4030,7,5,11,14,42,34,57,73,63,7,117,38,23,29,13,93,77,66,50,68,34,31,105
India,Goa,25,369568,160996,134449,4030,7,5,11,14,39,30,55,71,62,5,114,36,22,28,12,88,70,60,47,64,30,28,95
